,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
432,2020-10-20,social,0.00016683350016691886,,0.35714019643856953,,
433,2020-10-21,social,-0.00033361134278570687,,0.3568536590537504,,
434,2020-10-22,social,0.003670949441014498,,0.3563951992380398,,
435,2020-10-23,social,0.00033250207813804035,,0.35610866185322065,,
436,2020-10-26,social,0.009971746717633395,,0.35782788616213546,,
437,2020-10-27,social,0.009379628105973346,,0.3566244291458951,,
438,2020-10-28,social,0.010922725790674838,,0.35628058428411213,,
439,2020-10-29,social,0.007579422673762278,,0.3549625123139441,,
440,2020-10-30,social,0.013764404609475138,,0.35335790295895697,,
441,2020-11-02,social,0.03899589516892957,,0.6370872214068641,,
442,2020-11-03,social,0.00410271995137511,,0.6383479859000684,,
443,2020-11-04,social,-0.01634382566585954,,0.6397233653472002,,
444,2020-11-05,social,-0.004769230769230804,,0.663334045856297,,
445,2020-11-06,social,-0.033544597310248794,,0.6675747991516201,,
446,2020-11-09,social,-0.14299424184261045,,0.680182444083662,,
447,2020-11-10,social,-0.025942515864128417,,0.6801251366066983,,
448,2020-11-11,social,-0.02203487258095418,,0.680182444083662,,
449,2020-11-12,social,-0.009012539184952996,,0.6802397515606259,,
450,2020-11-13,social,0.013444049031237639,,0.6797239842679514,,
451,2020-11-16,social,0.04740538431525556,,0.6785205272517111,,
452,2020-11-17,social,-0.009685230024213001,,0.6784059122977834,,
453,2020-11-18,social,0.002068835809667095,,0.6783486048208196,,
454,2020-11-19,social,-0.02458708708708713,,0.6782912973438557,,
455,2020-11-20,social,-0.011545122185876494,,0.6778901450051089,,
456,2020-11-23,social,0.007202647459606863,,0.6736493917097858,,
457,2020-11-24,social,0.0032856590645534323,,0.6731909318940752,,
458,2020-11-25,social,0.0036601810826431295,,0.6725032421705093,,
459,2020-11-26,social,0.015930902111324342,,0.6710132477694497,,
460,2020-11-27,social,0.010768940109578694,,0.6694659458914264,,
461,2020-11-30,social,0.02448598130841126,,0.6168003745616695,,
462,2020-12-01,social,0.005838350665936878,89.7,0.6574313757290228,1471762.0,1.2
463,2020-12-02,social,0.016325049882096834,,0.657316760775095,,
464,2020-12-03,social,0.008388363376762428,,0.6565717635745654,,
465,2020-12-04,social,0.014690265486725633,,0.6555402289892165,,
466,2020-12-07,social,0.04029304029304034,,0.6517579355096039,,
467,2020-12-08,social,0.009054325955734393,,0.6506690934472912,,
468,2020-12-09,social,0.007643735460285824,,0.6504398635394358,,
469,2020-12-10,social,0.006101583113456422,,0.6502106336315805,,
470,2020-12-11,social,-0.0008195377806916433,,0.6496375588619423,,
471,2020-12-14,social,0.007053805774278211,,0.6527321626179889,,
472,2020-12-15,social,0.001140250855188146,,0.6524456252331698,,
473,2020-12-16,social,0.0024406117800195018,,0.6535344672954825,,
474,2020-12-17,social,-0.011686414543093635,,0.6535917747724463,,
